method,header_name,header_value,header_name_length,header_value_length,num_letters_in_value,num_numbers_in_value,num_special_chars_in_value,value_is_uuid,value_is_base64,value_is_jwt,consistency_across_visits,stored_in_cookies_or_local,host_domains,destination_domains,is_tracking,confidence,why
REQUEST,MOE-APPKEY,43W6KMB4R4P0LQUXWDS4JSH1,10,24,16,8,0,False,True,False,True,True,{'hindustantimes.com'},{'moengage.com'},YES,85,"The header ""MOE-APPKEY"" is classified as a tracking header based on the following reasoning:
1. Third-party destination domain: The destination domain (moengage.com) is different from the host domain (hindustantimes.com), and moengage.com is known for tracking purposes.
2. Length and composition: The value length of 24 characters, combined with an equal mix of letters and numbers, suggests it could be a unique identifier or token used for tracking.
3. Encoded values: The header value being Base64 encoded indicates that the data might be obfuscated to avoid easy identification but is still likely used for tracking purposes.
4. Consistency across visits: The fact that the value is consistent across sessions and visits suggests it could be a persistent identifier, which is often used in tracking mechanisms.
5. Stored in cookies or local storage: The header being stored indicates that this information can be retained between sessions, further supporting its use for tracking.

While not all heuristics are strongly indicative of tracking (such as the lack of special characters and non-UUID value), the combination of these factors leads to a high likelihood that this is a tracking header."
RESPONSE,x-advertisable-eid,3N3S2ATGZBB5DNBSO4VX4R,18,22,16,6,0,False,True,False,True,True,"{'verizon.com', 'verizonwireless.com'}",{'adroll.com'},YES,85,"The header ""x-advertisable-eid"" has a value that is Base64 encoded, which is often used for obfuscating tracking information. The consistency across visits and the fact that it is stored in browser storage indicate persistent tracking capabilities. Additionally, the destination domain ""adroll.com"" is known for advertising and tracking purposes, further supporting the classification as a tracking header."
RESPONSE,x-pixel-eid,7QST7OEKE5B6HH4HSPWYDT,11,22,17,5,0,False,True,False,True,True,"{'verizon.com', 'verizonwireless.com'}",{'adroll.com'},YES,85,"The header ""x-pixel-eid"" is classified as a tracking header based on the following reasoning:
1. Third-party destination domain: YES, as it points to ""adroll.com,"" which is known for advertising and tracking.
2. Length and composition: NO, the value length (22) is not exceptionally long, and there are no special characters or numbers mixed with letters.
3. Encoded values: YES, the header value is Base64 encoded, which can be used to store complex data in a compact form.
4. Consistency across visits: YES, it remains consistent across sessions and visits.
5. Stored in cookies or local storage: YES, indicating that this information is stored persistently.

Given these factors, especially the third-party destination domain and the persistent nature of the value, there's a high likelihood that this header is used for tracking purposes."
REQUEST,MOE-APPKEY,QTD7QXC51X5DZR3CTIHK33PQ,10,24,17,7,0,False,True,False,True,True,{'blibli.com'},{'moengage.com'},YES,85,"The header ""MOE-APPKEY"" is classified as a tracking header based on the following reasoning:
1. Third-party destination domain: The destination domain (moengage.com) is different from the host domain (blibli.com), and MoEngage is known for using such headers for user identification and tracking.
2. Length and composition: The value length of 24 characters, combined with a mix of letters and numbers, suggests it could be an encoded identifier rather than a simple request parameter.
3. Encoded values: The header value being Base64-encoded indicates that the data might be obfuscated for tracking purposes.
4. Consistency across visits: The fact that the value is consistent across sessions and visits implies long-term user identification capabilities, which are typical of tracking headers.
5. Stored in cookies or local storage: The value being stored suggests it could be used to track user behavior over time.

While not all heuristics strongly indicate a tracking header (e.g., no special characters), the combination of third-party destination and consistent, encoded values across sessions provides strong evidence for this classification."
REQUEST,x-spot-id,sp_7gr62oKd,9,11,7,3,1,False,False,False,True,True,{'deadspin.com'},{'spot.im'},YES,85,"The header ""x-spot-id"" shows several characteristics that suggest it could be used for tracking. It has a consistent value across sessions and visits, indicating potential user identification. The value is stored in browser storage, which can facilitate persistent tracking. Additionally, the destination domain (spot.im) is different from the host domain (deadspin.com), suggesting cross-origin communication that could enable tracking mechanisms. While not all of these factors alone would definitively indicate tracking, their combination increases the likelihood significantly."
RESPONSE,x-geo-city,BLACKSBURG,10,10,10,0,0,False,True,False,True,True,{'att.com'},{'adobetarget.com'},YES,85,"The header ""x-geo-city"" with a value of ""BLACKSBURG"" is stored in browser storage and consistent across visits, which are strong indicators. Additionally, the destination domain (adobetarget.com) is known for tracking purposes, further supporting that this header could be used for tracking. While the value itself does not contain special characters or numbers, its encoding as Base64 and storage characteristics suggest it might serve a tracking purpose."
RESPONSE,x-did,0198dd9ced0d0008da8ecbf4b51e05072002206a00590,5,45,15,30,0,False,False,False,True,True,{'anitube.se'},{'tealiumiq.com'},YES,85,"The header ""x-did"" has a value that is consistent across visits and stored in browser storage, which are strong indicators of tracking. Additionally, the destination domain (tealiumiq.com) is known for providing data collection services, further suggesting its use for tracking purposes. While the value length and composition do not provide clear evidence, the other factors strongly support a classification as a tracking header."
RESPONSE,adthrive-deployment,pe-280:pr6743:beta08:03b1568:100:exp,19,36,12,18,6,False,False,False,True,True,{'ranker.com'},{'adthrive.com'},YES,85,"The header ""adthrive-deployment"" has a value that is consistent across visits and stored in browser storage, which are strong indicators of tracking. Additionally, the destination domain (adthrive.com) is different from the host domain (ranker.com), suggesting it could be used for cross-site tracking. While the value does not appear to be encoded or follow a UUID pattern, its consistency and storage suggest it may be used for tracking purposes."
REQUEST,x-spot-id,sp_Z3zhn8qO,9,11,8,2,1,False,False,False,True,True,{'lifehacker.com'},{'spot.im'},YES,85,"The header ""x-spot-id"" shows a consistent value across visits and is stored in browser storage, which are strong indicators of tracking. Additionally, the destination domain (spot.im) is different from the host domain (lifehacker.com), suggesting it could be used for cross-origin tracking. While the value does not appear to be encoded or a UUID, its consistency and storage suggest it may be used for user identification purposes."
REQUEST,partner,olxbrclassificados,7,18,18,0,0,False,True,False,True,True,{'olx.com.br'},{'useinsider.com'},YES,85,"The header ""partner"" with the value ""olxbrclassificados"" is marked as Base64 encoded, consistent across visits, and stored in browser storage. The destination domain (useinsider.com) is known for tracking purposes, which strongly indicates that this header could be used for tracking user behavior or linking sessions across different sites."
RESPONSE,x-city,Blacksburg,6,10,10,0,0,False,True,False,True,True,{'theatlantic.com'},{'concert.io'},YES,85,"The header ""x-city"" with a value of ""Blacksburg"" is stored in browser storage and consistent across sessions, which are strong indicators. The fact that it has a third-party destination domain (concert.io) also suggests tracking potential. While the value itself does not contain special characters or numbers, its encoding as Base64 adds an additional layer of complexity that could be used for tracking purposes. Given these factors, there is a high likelihood this header is being used for tracking."
REQUEST,Device-GPU,"ANGLE (Google, Vulkan 1.3.0 (SwiftShader Device (Subzero) (0x0000C0DE)), SwiftShader driver)",10,92,62,9,21,False,False,False,True,True,{'gap.com'},{'granify.com'},YES,85,"The header ""Device-GPU"" has a value that is long and complex, containing a mix of letters, numbers, and special characters. It is consistent across visits and stored in browser storage, which are strong indicators of tracking behavior. Additionally, the destination domain (granify.com) is known for analytics and optimization services, often used for tracking user behavior. While the value does not appear to be encoded or a UUID, the combination of these factors strongly suggests that this header could be used for tracking purposes."
REQUEST,x-spot-id,sp_xEkoxAFD,9,11,10,0,1,False,False,False,True,True,{'ign.com'},{'spot.im'},YES,85,"The header ""x-spot-id"" is consistent across sessions and visits, stored in browser storage, and has a third-party destination domain (spot.im), which is known for tracking. Although the value does not appear to be encoded or have a long length with special characters, these factors alone are not strong enough to rule out tracking potential. The combination of being consistent across visits, stored in storage, and having a third-party destination strongly suggests it could be used for tracking purposes."
RESPONSE,x-advertisable-eid,RNMF2FYLINFB3DIYKKGIJY,18,22,20,2,0,False,True,False,True,True,{'lg.com'},{'adroll.com'},YES,85,"The header ""x-advertisable-eid"" has a value that is Base64 encoded, which is often used for tracking. The consistency across visits and the fact that it is stored in browser storage indicate potential long-term tracking capabilities. Additionally, the destination domain (adroll.com) is known for advertising and tracking purposes, further supporting the classification as a tracking header."
RESPONSE,x-pixel-eid,IXTTSNQHNRHUZGCTBSJLCT,11,22,22,0,0,False,True,False,True,True,{'lg.com'},{'adroll.com'},YES,85,"The header ""x-pixel-eid"" is classified as a tracking header based on the following reasoning:
1. Third-party destination domain: YES, as it points to ""adroll.com,"" which is known for advertising and tracking.
2. Length and composition: NO, the value length (22) is not exceptionally long or complex, but the use of Base64 encoding suggests a structured data format.
3. Encoded values: YES, the header value is encoded in Base64, indicating it might contain more detailed information than just a simple string.
4. Consistency across visits: YES, the fact that this value remains consistent across sessions and visits could be used to track user behavior over time.
5. Stored in cookies or local storage: YES, being stored in browser storage allows for persistent tracking.

Given these factors, especially the third-party destination domain and the consistency of the value, it is highly likely that this header is used for tracking purposes."
RESPONSE,twc-geoip-city,BLACKSBURG,14,10,10,0,0,False,True,False,True,True,{'wunderground.com'},{'weather.com'},NO,75,"The header ""twc-geoip-city"" with the value ""BLACKSBURG"" does not show strong indicators of tracking. The value is a simple string without any encoding, and it is consistent across visits but this alone is not conclusive for tracking. However, the fact that the destination domain (weather.com) is different from the host domain (wunderground.com), which is known to provide weather services, suggests potential use in service functionality rather than tracking. The value being stored in browser storage could be related to user preferences or session management rather than tracking."
REQUEST,ap_z,"Mozilla/5.0 (Macintosh; Intel Mac OS X 13_0) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/16.0 Safari/605.1.15",4,114,65,20,29,False,False,False,True,True,{'cbssports.com'},{'adobe.com'},YES,85,"The header value is consistent across sessions and visits, stored in browser storage, and the destination domain (adobe.com) is known for tracking. Although the value itself does not appear to be a UUID or encoded, its presence on multiple sites suggests it could be used for tracking purposes."
RESPONSE,x-advertisable-eid,PVWB4UDVGRDVJF4H5MGDJ5,18,22,18,4,0,False,True,False,True,True,{'okta.com'},{'adroll.com'},YES,85,"The header ""x-advertisable-eid"" has a value that is Base64 encoded, which is often used for tracking purposes. Additionally, the value is consistent across visits and stored in browser storage, indicating persistent tracking capabilities. The destination domain (adroll.com) is known for advertising and tracking activities, further supporting the likelihood of this header being used for tracking."
RESPONSE,x-pixel-eid,QLV3EZBCR5ECPHQWN5KS5H,11,22,18,4,0,False,True,False,True,True,{'okta.com'},{'adroll.com'},YES,85,"The header ""x-pixel-eid"" is classified as a tracking header based on the following reasoning:
1. Third-party destination domain: YES, as it points to 'adroll.com', which is known for advertising and tracking.
2. Length and composition: NO, the value length (22) and letter count (18) are not exceptionally long or complex.
3. Encoded values: YES, the header value is Base64 encoded, suggesting a mechanism used in tracking.
4. Consistency across visits: YES, it remains consistent across sessions, indicating persistent tracking.
5. Stored in cookies or local storage: YES, its presence in browser storage supports tracking capabilities.

The combination of these factors strongly suggests that this header is being used for tracking purposes."
